地址,户型,面积,朝向,装修,楼层,购买时间,总价,单价,关注度,发布时间,链接
大有北里,4室2厅,125.8,南 北,精装,顶层(共6层),板楼,1450.0,115263,21, 8个月以前发布,https://bj.lianjia.com/ershoufang/101123949100.html
石佛营西里小区,2室1厅,75.8,南 北,简装,15层,板楼,345.0,45515,19, 6天以前发布,https://bj.lianjia.com/ershoufang/101125307021.html
地震局宿舍,1室1厅,46.66,南,简装,高楼层(共6层),1994年,179.0,38363,45, 4个月以前发布,https://bj.lianjia.com/ershoufang/101125849375.html
西便门内大街79号院,2室1厅,52.59,东南,精装,底层(共4层),板楼,466.0,88611,10, 8个月以前发布,https://bj.lianjia.com/ershoufang/101126037800.html
云景里,3室1厅,110.35,南 北,简装,高楼层(共6层),1995年,289.0,26190,12, 1个月以前发布,https://bj.lianjia.com/ershoufang/101126060189.html
铭科苑,2室1厅,66.3,东 西,精装,6层,板楼,385.0,58070,6, 16天以前发布,https://bj.lianjia.com/ershoufang/101124401494.html
中海金玺公馆,3室2厅,112.11,南 北,毛坯,高楼层(共20层),板楼,780.0,69575,11, 20天以前发布,https://bj.lianjia.com/ershoufang/101126218217.html
安华里社区,1室1厅,42.83,南,简装,顶层(共6层),板楼,228.0,53234,39, 2个月以前发布,https://bj.lianjia.com/ershoufang/101125998141.html
首创新悦都二区,3室1厅,88.52,东 南 北,精装,中楼层(共17层),2014年,320.0,36151,4, 17天以前发布,https://bj.lianjia.com/ershoufang/101124575880.html
北大地四里,2室1厅,52.0,南 北,简装,中楼层(共5层),板楼,228.0,43847,51, 8个月以前发布,https://bj.lianjia.com/ershoufang/101124102375.html
松榆里,1室1厅,53.85,南 北,简装,顶层(共7层),1991年,215.0,39926,3, 14天以前发布,https://bj.lianjia.com/ershoufang/101124498896.html
恒大名都,1室1厅,60.25,西,简装,中楼层(共29层),2017年,307.0,50955,10, 2个月以前发布,https://bj.lianjia.com/ershoufang/101125967313.html
玉泉路西街2号院,2室1厅,54.6,东 西,精装,中楼层(共6层),1986年,232.0,42491,47, 3个月以前发布,https://bj.lianjia.com/ershoufang/101122268926.html
名苑雅居,2室2厅,81.51,南,精装,中楼层(共14层),2005年,688.0,84407,28, 4个月以前发布,https://bj.lianjia.com/ershoufang/101124081018.html
科委宿舍,2室1厅,49.9,南 北,精装,中楼层(共14层),1985年,500.0,100201,8, 26天以前发布,https://bj.lianjia.com/ershoufang/101125819019.html
瑞丽江畔,2室1厅,71.53,西,精装,21层,2005年,429.0,59975,12, 30天以前发布,https://bj.lianjia.com/ershoufang/101125314080.html
阳光花园,1室1厅,54.54,西南,精装,16层,2010年,420.0,77008,15, 16天以前发布,https://bj.lianjia.com/ershoufang/101123941528.html
农光南路,3室1厅,85.04,南 北,简装,中楼层(共14层),板塔结合,388.0,45626,53, 1个月以前发布,https://bj.lianjia.com/ershoufang/101125507566.html
芍药居5号院,3室1厅,74.78,南 北,精装,顶层(共5层),板楼,535.0,71544,34, 6个月以前发布,https://bj.lianjia.com/ershoufang/101124665369.html
棕榈泉国际公寓,3室2厅,179.58,南 西,精装,中楼层(共30层),2004年,1660.0,92438,58, 4个月以前发布,https://bj.lianjia.com/ershoufang/101124419785.html
和平街十一区,2室1厅,63.17,东 西 北,精装,5层,1958年,465.0,73611,12, 10天以前发布,https://bj.lianjia.com/ershoufang/101126126070.html
金隅美和园,2室2厅,83.6,南 北,精装,高楼层(共9层),2009年,568.0,67943,40, 1个月以前发布,https://bj.lianjia.com/ershoufang/101124583076.html
双林苑,2室1厅,93.62,南 北,简装,中楼层(共6层),2009年,413.0,44115,43, 1个月以前发布,https://bj.lianjia.com/ershoufang/101124457341.html
帅府园二期,2室2厅,86.64,南,精装,高楼层(共21层),板楼,537.0,61981,17, 3个月以前发布,https://bj.lianjia.com/ershoufang/101120723537.html
